TID;ALDER;KØN;INDHOLD
2021Q2;0 years;Men;31649
2021Q2;0 years;Women;30016
2021Q2;1 year;Men;31863
2021Q2;1 year;Women;30226
2021Q2;2 years;Men;31595
2021Q2;2 years;Women;29863
2021Q2;3 years;Men;32009
2021Q2;3 years;Women;30372
2021Q2;4 years;Men;32342
2021Q2;4 years;Women;30427
2021Q2;5 years;Men;31077
2021Q2;5 years;Women;29480
2021Q2;6 years;Men;30332
2021Q2;6 years;Women;28652
2021Q2;7 years;Men;29822
2021Q2;7 years;Women;28435
2021Q2;8 years;Men;31016
2021Q2;8 years;Women;29287
2021Q2;9 years;Men;31510
2021Q2;9 years;Women;30256
2021Q2;10 years;Men;33492
2021Q2;10 years;Women;31944
2021Q2;11 years;Men;34294
2021Q2;11 years;Women;32427
2021Q2;12 years;Men;35272
2021Q2;12 years;Women;33248
2021Q2;13 years;Men;34994
2021Q2;13 years;Women;33298
2021Q2;14 years;Men;35224
2021Q2;14 years;Women;33327
2021Q2;15 years;Men;34665
2021Q2;15 years;Women;33137
2021Q2;16 years;Men;34751
2021Q2;16 years;Women;33302
2021Q2;17 years;Men;35017
2021Q2;17 years;Women;33648
2021Q2;18 years;Men;34579
2021Q2;18 years;Women;32607
2021Q2;19 years;Men;35305
2021Q2;19 years;Women;33741
2021Q2;20 years;Men;37024
2021Q2;20 years;Women;35244
2021Q2;21 years;Men;36983
2021Q2;21 years;Women;35916
2021Q2;22 years;Men;37965
2021Q2;22 years;Women;36276
2021Q2;23 years;Men;38971
2021Q2;23 years;Women;37371
2021Q2;24 years;Men;39809
2021Q2;24 years;Women;38361
2021Q2;25 years;Men;41486
2021Q2;25 years;Women;39178
2021Q2;26 years;Men;42034
2021Q2;26 years;Women;40853
2021Q2;27 years;Men;40657
2021Q2;27 years;Women;39058
2021Q2;28 years;Men;41243
2021Q2;28 years;Women;39565
2021Q2;29 years;Men;40228
2021Q2;29 years;Women;38724
2021Q2;30 years;Men;39853
2021Q2;30 years;Women;38394
2021Q2;31 years;Men;39064
2021Q2;31 years;Women;37712
2021Q2;32 years;Men;37962
2021Q2;32 years;Women;36118
2021Q2;33 years;Men;36575
2021Q2;33 years;Women;35067
2021Q2;34 years;Men;35922
2021Q2;34 years;Women;34336
2021Q2;35 years;Men;34851
2021Q2;35 years;Women;33763
2021Q2;36 years;Men;33400
2021Q2;36 years;Women;32280
2021Q2;37 years;Men;32784
2021Q2;37 years;Women;31963
2021Q2;38 years;Men;32850
2021Q2;38 years;Women;31788
2021Q2;39 years;Men;32872
2021Q2;39 years;Women;32816
2021Q2;40 years;Men;33784
2021Q2;40 years;Women;33227
2021Q2;41 years;Men;34807
2021Q2;41 years;Women;34854
2021Q2;42 years;Men;35618
2021Q2;42 years;Women;35518
2021Q2;43 years;Men;35441
2021Q2;43 years;Women;35189
2021Q2;44 years;Men;36355
2021Q2;44 years;Women;35985
2021Q2;45 years;Men;38947
2021Q2;45 years;Women;39301
2021Q2;46 years;Men;39006
2021Q2;46 years;Women;39297
2021Q2;47 years;Men;38591
2021Q2;47 years;Women;38892
2021Q2;48 years;Men;39972
2021Q2;48 years;Women;40197
2021Q2;49 years;Men;40651
2021Q2;49 years;Women;40097
2021Q2;50 years;Men;38446
2021Q2;50 years;Women;38326
2021Q2;51 years;Men;37559
2021Q2;51 years;Women;37402
2021Q2;52 years;Men;39076
2021Q2;52 years;Women;38130
2021Q2;53 years;Men;40929
2021Q2;53 years;Women;40724
2021Q2;54 years;Men;44471
2021Q2;54 years;Women;43777
2021Q2;55 years;Men;43365
2021Q2;55 years;Women;42972
2021Q2;56 years;Men;41942
2021Q2;56 years;Women;41370
2021Q2;57 years;Men;41248
2021Q2;57 years;Women;40750
